participant_id,RestingState,SAIIT_2AFC_Block1,SAIIT_2AFC_Block2,SAIIT_2AFC_Block3,SurroundSupp_Block1,SurroundSupp_Block2,WISC_ProcSpeed,vis_learn,Video-DM,Video-FF,Video-WK,Video-TP
NDARLM193AN5,0,29097273,37669990,53298440,36086517,83937824,31872784,0,23592691,25512351,16352865,0
NDARLM287VZ9,0,29296461,33530100,33583819,36873229,35782791,23474013,46044732,23960354,22783715,16483848,0
NDARLP687NXT,0,36454473,36060952,39943549,45508997,41579056,24319397,40781817,23423314,23097812,16206061,28106004
NDARLR078GUL,117641432,265741406,0,88274061,91751246,126170350,0,138712880,46702961,0,32179361,56205619
NDARLR811ABJ,0,0,0,0,0,0,48623109,22902367,27957814,25265037,19790224,25823215
NDARLU018MNV,57774021,43612131,47322038,50910014,45864584,52016562,30064485,44229436,23432532,22384896,16423023,27833426
NDARLU924KZ1,97939464,134530209,0,0,0,0,43763188,71850121,76032785,55701414,51259962,56045521
NDARLV267GLZ,0,41072070,38789192,37397842,48048884,44481169,23549641,36549320,24861583,23842930,17227106,29797026
NDARLV388VLU,0,0,34786201,45346008,43007050,44847263,23261411,38390200,24981700,23565238,17128344,29222904
NDARLW141KCB,138299855,77573619,111141999,98146263,94839089,89036045,75133526,101270220,45683321,44467405,31858949,54239333
NDARLX113UX2,0,0,47532163,40154798,46316993,48294499,33080149,47107644,24584229,25795278,17008031,29496674
NDARLY404AT0,13999680,31036872,35485515,36996974,44457696,0,51964124,47540207,23864713,22825425,69022397,28489998
NDARMC098RWA,177731030,117883775,0,0,88091387,0,60475209,115813968,47891755,46001127,33267820,0
NDARMD472JPD,0,0,0,0,0,0,60689821,20585950,27795396,32307626,20907219,28857440
NDARMD968NG6,90908225,68156968,71819386,75560901,88746226,90927869,45642926,88219600,43104303,42146396,29475264,50600235
NDARME070UY0,0,0,46326720,35519396,41555879,43666782,23419292,37935257,24345197,24098713,16974428,29233906
NDARME353RCF,101584470,74567469,90232180,75433002,96302073,90756402,49738749,84320089,47778565,45904041,33168183,57532524
NDARME881TTR,127156369,86488548,0,0,105724268,0,138103369,16556797,0,47069138,0,0
NDARMF860RFV,0,91772007,85821171,46866763,60263764,0,25487305,37804245,24356801,34454246,17247770,29005794
NDARMH305FWL,101330778,69384481,67973970,69562249,84600707,71510746,43903091,74500267,46893887,44604940,32983695,0
NDARMH607TBW,0,35798165,56830276,31903581,33606732,38261524,20843987,33525059,22359626,21620231,15432200,26489923
NDARMH835BVW,0,0,0,0,0,0,0,0,0,0,0,0
NDARMJ391FA7,0,0,32857170,33142993,54217090,39894924,22274879,42547097,23848879,22567416,16289149,27819060
NDARMM883AKG,0,28632966,32411626,32995811,38983834,41906467,21904646,43914269,23755441,22912647,16510726,28367376
NDARMR182HX3,2596,29292677,0,0,36043692,40868878,40011685,0,24008804,26903106,20538621,28205772
NDARMV141ATL,0,0,0,0,0,0,0,0,53980690,52347672,39815646,56447306
NDARMX705VWY,114174367,85232063,108451764,81746478,79677819,106574726,81445238,112632840,48149082,46737653,33121520,57239958
NDARMX900YT7,0,0,41797321,34692423,41632076,50587392,26179641,48975918,23930377,22898432,16557476,28449592
NDARMY680URF,0,0,38277253,32807574,39647220,39349026,21849591,38737333,23618930,22204939,16250914,27807460
NDARMZ631GVY,100309745,105857578,0,111216397,83914013,122696527,80062889,90127945,49077593,67412541,33729237,57875964
NDARNC716ZZ0,197114970,140434973,59478294,0,124200405,68433741,108810189,69930591,52625025,45871553,32988175,56957258
NDARNG792YGE,150832971,100438397,78220302,70817738,123722179,93655287,55718384,92648601,48248560,46374874,33513981,57627836
NDARNH808NUU,99800991,69906308,67901169,68775630,84653028,103650691,47490895,74722627,48828577,48443427,34125474,59144809
NDARNK157VFZ,0,29764735,37160992,34173589,39368714,52676481,22504617,42211267,23957316,23259774,16664694,28536032
NDARNL140GMH,98375782,70633344,105786176,66955958,96135753,79406209,45710178,66472459,47526587,45093552,33108471,56399462
NDARNL778FNY,282723799,0,0,0,0,0,0,0,54954052,54756873,41358834,56369411
NDARNM033ZGL,157468343,0,0,0,162750009,0,36868714,71276593,0,0,0,0
NDARNM612JC1,0,29803593,33634379,39554491,42429866,35675857,22823352,46154645,23650684,23458570,16224438,0
NDARNP440GEN,0,53079027,102836360,0,37019270,42388418,23182784,46798244,0,0,16606072,28783630
NDARNU171UZM,0,56151264,0,0,34617367,0,35997185,83741932,29405528,0,50805096,27877903
NDARNY325WWL,0,0,96480608,0,90181491,38580896,23270683,32033531,0,0,16033959,27478127
NDARPA193RJR,0,31167237,42109085,34546144,37449348,53115665,34660418,57381621,24160858,23340400,16666767,28734434
NDARPA588ELA,0,31356705,43421104,35127917,37115842,41667409,22763398,34553711,24103241,23243989,16964777,28877033
NDARPA837BMM,0,0,40854142,61438346,42275055,54341601,32490896,40338551,24348905,23451616,16931085,0
NDARPB186VFF,95699980,63213701,71091887,63529878,76714608,69295125,73890576,77926810,46003803,45151325,32098605,0
NDARPC602MH8,93171415,41543781,63521594,64274355,46425764,77342141,22974780,46483051,27824449,27007841,21474113,27793515
NDARPE073VRC,173569944,0,0,0,0,0,0,0,79634698,52318124,64605106,54570379
NDARPF246YW9,0,0,54154824,35113129,44376611,40587124,24036503,34354347,24092324,23351885,16575498,28641947
NDARPF685LFK,0,0,0,0,0,0,30651158,41947872,27856375,36303411,21860699,27958259
NDARPG323TJX,108523543,90455206,92079929,92805610,83991618,0,51600030,76663820,45867477,46237563,44046501,55868156
NDARPG836PWJ,126086416,67429317,66923164,67206723,69967462,81091196,48528427,132356504,47144751,45303484,32739553,55160537
NDARPJ242AEW,0,0,0,0,0,0,0,54823862,47680796,29586619,28323220,28924144
NDARPK382CJE,0,28212803,54572538,40692706,35809636,38553117,20509745,31355473,23120568,22262577,16040614,27778769
NDARPT628XJY,0,0,40816881,37723879,100822818,61666487,23077431,41404789,24068733,23725498,16687140,28658544
NDARRC913TGF,0,50237814,0,0,42508208,0,32309197,49465086,36564450,33948801,21486822,29089394
NDARRD049JBW,0,43036022,35930850,32924541,40388415,93425224,23889872,64407180,53252002,23624591,0,29053101
NDARRE748ABB,0,31159039,33438630,35194825,40467176,74632308,23553673,42546184,23234110,23655806,16066623,28160691
NDARRG932VY9,47926388,28824698,40443203,56494091,37460540,46030495,23381929,40637725,23786740,22813901,16319985,0
NDARRK344CBP,0,0,0,0,0,0,22632919,37097637,28826849,27766422,21666663,29081141
NDARRK677MEX,0,0,40862365,34800298,66140457,41034543,22825756,33638871,24457866,23535546,16681171,28669050
NDARRK924TXM,0,30664502,79659343,33906650,42837065,41619907,28364788,46988592,24462094,23017224,17364150,28877974
NDARRL539CFK,0,30485831,33022842,33636614,37930821,38876185,23651871,47515685,23295076,22993783,16073602,0
NDARRM101HTX,61912428,0,34839824,34876806,57328949,47098673,31423845,54180106,24754010,23933780,17137309,29459013
NDARRM546UE6,0,0,0,0,0,0,0,0,0,0,0,0
NDARRU798JJE,139368325,96096942,94595720,127028633,164685016,124585826,65176727,79414974,47387325,46076326,32922520,56470231
NDARRW992LA5,99110458,69030291,66290772,66818053,79940994,80930759,56065461,73385543,48745580,47468891,33827026,57866896
NDARRZ416JNT,0,52725098,35824862,32772073,35248544,43569773,23158462,40983827,23457277,22205309,16619911,27962555
NDARTA315UTZ,0,30546078,34493496,34635242,36723880,53839383,22727727,38647524,24817098,23724745,17190006,29592400
NDARTA421ECP,0,28699610,36125706,36881773,35873825,41037091,29254772,34477232,24368233,21246835,16446692,27794075
NDARTA658MAU,2018,35450832,40470099,34998058,0,0,104168282,57269600,24337802,28416449,16825694,28759390
NDARTB684URJ,9425522,64814504,35962627,34623464,39957052,41668466,24101597,76558917,24851716,23847627,17270694,29544563
NDARTN385XB2,104393731,80475220,0,0,80485227,0,56151829,65538552,64802195,79947299,43049988,56814790
NDARTP117MFZ,0,0,35171561,34164097,48626606,41773258,25304743,41064340,24540611,23265078,16795579,28919847
NDARTP360FA8,0,47813069,0,0,37093806,0,23567010,29156997,28748408,27827315,21158999,28929420
NDARTR194XG1,121988110,0,0,0,0,0,139087143,75630565,57006782,53884206,41186242,53580544
NDARTU613JPA,91976696,65900616,0,94841254,67377228,69307275,41165872,68361079,0,44564703,31230717,0
NDARTU722UV3,0,29973599,41761636,40593139,69257039,55490595,22292376,57084382,23314475,22477124,16110654,27642340
NDARTX042KFJ,0,32443404,51215346,52190024,52856115,63544712,24740347,51933165,23891125,23035285,16478879,28113263
NDARTX159EKA,65220584,35977687,42279740,44511533,39932665,48379980,22989762,60153493,22588744,21748468,15290372,26490103
NDARTY633WNU,112456184,0,0,0,256207280,0,0,115859139,48610044,0,0,0
NDARUF583HPJ,0,0,33778057,34414421,43589503,42221740,22502073,34032114,24208514,23081658,16613874,28778851
NDARUJ393MLB,0,29001444,36543782,34402737,43073159,45565169,22746438,36846912,23480536,22600759,16237494,28011888
NDARUM504ZMX,0,33285589,44840978,33860995,43369001,45789588,34883816,38923266,23557933,22525728,16164038,27338502
NDARUM615YTX,0,0,0,0,0,0,0,0,29690517,29292308,21316232,28848375
NDARUR715AU1,0,29820718,63897742,35304816,44067999,43305204,22858645,32507855,24256556,23359561,16711726,28758299
NDARUR867FT8,99571514,68007575,68025673,105927960,83153946,0,43986515,75030003,48725228,47246792,41919177,57726776
NDARUU127KGG,0,28756853,35736484,39708786,39186355,40087350,23045670,34918474,23741074,22816070,16374124,28096394
NDARUU972YP5,140843157,77926407,65718822,125594880,109220098,113917861,102201818,80820525,46988697,46341013,32523321,55790366
NDARUZ062TR7,101112279,93538256,75477160,66954253,71948242,88431426,46842359,73644539,47273238,46185477,32895768,56064192
NDARUZ436LDE,116520957,95945074,0,0,71218772,0,58835297,114805013,61749760,59759643,49504180,58786716
NDARVE660EDT,137124382,0,0,0,0,0,0,0,58861135,54457662,41469867,57409656
NDARVF993JYD,0,28361273,66620905,32352705,36949680,39246983,22067853,31689419,23203683,22025982,16051167,27579653
NDARVG441WR4,0,0,0,0,35386956,0,22919967,37092763,27236164,26645522,19765034,27147489
NDARVL005LNC,111937962,70621295,84078309,67423162,82621251,93333807,59679867,73222346,49253601,48036396,34005643,58484589
NDARVL016JY5,96311112,89863208,0,0,83396270,0,44754364,102363257,55715342,75478297,40889003,55511609
NDARVL173RVX,0,0,33155992,31101977,36180076,38044186,21453129,37062545,22856189,21659706,15505996,26827522
NDARVL515DXJ,0,0,0,0,0,0,0,0,29700966,28326299,21342796,29298415
NDARVL845HTZ,0,93153379,0,66989662,35653423,0,23448183,34541028,0,0,16251623,0
NDARVV405XEK,10483162,210537156,35704414,35034368,50610027,41321433,23283207,45724769,26456890,22881287,16651890,28377524
NDARVX405YW4,94036021,86750908,62384522,63060908,67833439,86179987,42745936,65412506,45531063,44072785,31791830,54538622
NDARVY677GMY,0,0,0,0,0,0,0,0,23719425,23060245,16370877,27983523
NDARWC871NVV,0,29880505,34990819,35635081,36488462,47509954,22615029,38306912,23725054,22856690,16435529,28235285
NDARWE883MZG,42686316,165377367,0,0,83418656,0,25688197,31492376,35914611,0,69990448,0
NDARWF755EAP,0,30168303,46496459,51271708,40371123,43420155,23825044,41957891,24469329,23227720,16778547,29230341
NDARWH621NPQ,0,0,34863211,39268112,45564364,0,23473170,44304162,23987122,22896208,22313996,28152502
NDARWJ500KB0,0,32922554,112317163,0,45749936,0,25694327,50107225,0,23780663,0,0
NDARWJ953ET6,0,32878675,35622601,38479314,45175744,42014654,25246722,37043756,24220831,23038095,16803306,28821527
NDARWN716ZHB,0,30020058,41418973,35023175,36198051,110802923,46530590,33114123,24058462,22736358,16477281,0
NDARWU220LTU,0,0,33837804,35126087,47090441,69666349,35777980,35986388,24321581,23298222,16768863,0
NDARWU967KZZ,226387930,0,0,0,0,0,0,0,100748994,62366324,57639254,57145950
NDARWW192XD4,0,0,0,0,35398204,0,23859943,42363345,27889799,27510398,20357034,27809057
NDARWW255YVV,0,29807384,42237406,0,36260384,0,23070404,52989623,29588869,23355334,16950276,0
NDARWY111EZP,0,0,0,0,0,0,0,383380076,255844432,47903539,42822846,0
NDARWZ200JMY,0,28673704,40952067,33417727,39788022,40356475,25058423,107180313,23559217,22660220,16260673,28104431
NDARXD533AD2,0,29742629,40757845,38916299,36740235,35827169,25843954,39802253,23421234,22681355,16261672,0
NDARXF294VW8,115526436,69958051,117037587,107388804,92423654,120252955,57242966,75032951,47440340,45690333,32707383,56590031
NDARXH258BPV,0,0,0,0,0,0,19276009,30237030,24423888,24462420,18103421,24700886
NDARXH781ECX,0,720730493,85533506,66861741,0,96696633,0,0,47370440,45187567,33165954,56793254
NDARXJ276RAB,106563719,104220156,96979203,87221548,85650042,71835386,45871831,68655300,95505683,44038688,31974105,0
NDARXN408NTU,98098829,827457601,0,0,0,0,241590546,105807181,0,0,0,0
NDARXT395LXA,0,0,44728269,39792908,77361890,44325868,31720806,29353994,24375228,23653470,16747041,28662683
NDARXT793EGH,0,29763362,34144276,34433706,46307826,43671537,8305777,38455485,24740260,23231287,17054274,28901962
NDARXU726PJK,124469309,0,0,0,0,0,0,118901174,94719687,81965525,45111374,59616266
NDARXU991EN2,0,118224382,0,0,34818899,0,39250808,43592063,28027623,27962675,20565352,28869446
NDARXV571FAR,0,0,0,0,0,0,21043600,48057968,26259098,26380018,19462976,26237198
NDARXV730DZ8,0,0,38742596,33153500,105667344,38298310,22167779,100986942,23272228,22360183,16132206,27669693
NDARXX473KC4,327729,108509093,0,0,94932752,0,42694125,90547135,69232173,91154481,72431336,52103979
NDARXX854CJ9,98665014,73172373,62785594,68276878,77477376,85584692,44305704,92386345,46023228,45049258,31665901,54298516
NDARXY467BKN,157339152,0,0,0,0,0,0,0,52696833,54990767,69429989,54394089
NDARXY545VZG,0,30116084,33694668,33268658,40342888,40404080,23138402,39824283,23786155,22676408,16357233,28260648
NDARXZ483WYQ,0,37020263,35212506,55846715,37087274,35995098,23089744,36234358,23953999,23515725,16636017,0
NDARYA871AVK,0,30834986,33447045,33792802,37521849,83008975,46040528,95209848,24274524,23575396,16859892,0
NDARYD034VHM,0,0,38276854,0,71768156,0,24445783,40474633,29703361,23432403,22490428,28938365
NDARYD337YKP,0,31261682,36620177,0,47602733,0,0,53658280,28879935,62337223,23460106,28888766
NDARYE066TFW,0,29055092,0,0,35500985,0,21705695,99526115,38494564,26284594,19830065,27143771
NDARYE572ZCA,140858315,72890686,68177480,77557963,77100230,108002114,107809008,46620547,44597991,43381527,30950991,53631391
NDARYF940LPC,110770957,119993175,124629717,77561486,104869137,0,48163275,93692543,59785646,45780809,32638389,56236043
NDARYK906KF0,0,0,0,0,0,0,0,0,27523845,26371283,20631333,27536790
NDARYL950DBT,0,35436900,36424956,34300700,66360282,40849951,24372300,46116540,24182460,23424151,16779709,28968679
NDARYM328NWA,101113004,78457653,0,0,81420983,0,46419677,66530041,52850423,52046085,31798579,0
NDARYP207TKU,0,29680155,34612996,33713880,42211772,0,39576121,72881134,23669929,22971392,20861709,28216472
NDARYR926FV3,0,0,0,0,0,0,0,0,30161092,29016466,21430502,29623206
NDARYT112RZY,0,31172449,34884673,34843730,48278801,44719527,22676434,74430357,23853209,23769986,16648458,28648972
NDARYU003PUB,0,30096047,34190455,33824678,36157559,40430155,22106495,48809191,24349068,23485052,16750138,28937678
NDARYW598LYE,0,32497931,37741351,52320219,45566159,42136715,32045045,40505186,23659867,23527600,16313008,28139969
NDARZD915XRV,0,40128139,41176363,36966120,39180167,47125091,27874327,27036893,23412022,22864011,16162897,28008112
NDARZG173XE5,0,29939972,35147802,0,36724177,0,22900923,48682627,30104343,23298406,21116790,28100772
NDARZG660VB7,0,0,0,0,0,0,23016149,32420519,28975469,28179417,22329239,29419209
NDARZH220BVK,0,0,46710174,34354283,42409464,40698598,23347682,77988652,24046066,26862844,16647510,28704905
NDARZJ567AVT,0,31111880,35146126,37078833,43146296,0,23434270,52958791,23867463,23172624,47037055,0
NDARZL109NXE,121545896,72895901,87829987,94049971,92615248,107439384,51577764,94037482,48011044,47712087,33219866,57309438
NDARZM353LTP,0,0,36552589,33496517,43538840,42263856,23164807,36497379,24201960,23468862,16873159,28977995
NDARZM596RDP,0,0,0,40143650,96922790,44179104,23813458,33572710,24411128,0,16814635,29142941
NDARZN014RRW,288992295,0,0,0,0,0,0,200120242,66303919,55895000,49581356,56411030
NDARZW883MRK,0,30501191,30352090,36255224,39659761,40238475,24256358,42471048,24021746,30269154,16518402,28143855
NDARZX187CH9,98846817,68880193,68409383,88482845,76148972,81848321,45242868,65504425,48708763,47524373,33710953,58113270
NDARZY458TN1,125658089,81847334,34619548,35119087,43472264,40626346,24269301,41274693,23930826,22933432,16443448,28271040
